brand_id,brand_name,company_name,company_id
0,3Fish,3Fish,0
1,Abercrombie & Fitch,Abercrombie & Fitch,1
2,Abercrombie Kids,Abercrombie & Fitch,1
3,Hollister,Abercrombie & Fitch,1
4,Adidas,Adidas,2
5,Reebok,Adidas,2
6,Rockport,Adidas,2
7,Taylor Made,Adidas,2
8,Alexander McQueen,Alexander McQueen,3
9,McQ,Alexander McQueen,3
10,Ally Fashion,Ally Fashion,4
11,American Apparel,American Apparel,5
12,Anthea Crawford,Anthea Crawford,6
13,Bettina Liano,APG & Co,7
14,Jag,APG & Co,7
15,Saba,APG & Co,7
16,Sportscraft,APG & Co,7
17,T by Bettina Liano,APG & Co,7
18,Arabella Ramsay,Arabella Ramsay,8
19,Ryder,Arabella Ramsay,8
20,Burton Menswear,Arcadia,9
21,Dorothy Perkins,Arcadia,9
22,Evans,Arcadia,9
23,Miss Selfridge,Arcadia,9
24,Wallis,Arcadia,9
25,AS Colour,AS Colour,10
26,ASOS,ASOS,11
27,Audrey Blue,Audrey Blue,12
28,Authentic Factory Outlet,Authentics,13
29,Balmain,Balmain,14
30,Bardot,Bardot,15
31,Bardot Junior,Bardot,15
32,Spurling,Belgravia Group,16
33,"Zenetti, Ferrari, Dress Circle, Lords",Belgravia Group,16
34,Ben Sherman,Ben Sherman,17
35,United Colors of Benetton,Benetton,18
36,Insight,Bleach,19
37,Ksubi,Bleach,19
38,Blue Illusion,Blue Illusion,20
39,BooHoo,BooHoo,21
40,Clarks,Brand Collective,22
41,Elka Collective,Brand Collective,22
42,Elwood,Brand Collective,22
43,Final Days,Brand Collective,22
44,Grosby,Brand Collective,22
45,Hush Puppies,Brand Collective,22
46,Julius Marlow,Brand Collective,22
47,Mossimo,Brand Collective,22
48,Sachi,Brand Collective,22
49,Superdry,Brand Collective,22
50,Volley,Brand Collective,22
51,Bulgari,Bulgari,23
52,Bvlgari,Bulgari,23
53,Burberry,Burberry,24
54,Cacharel,Cacharel,25
55,CEO,CAG,26
56,Ron Bennett,CAG,26
57,Sew253,CAG,26
58,Tony Barlow,CAG,26
59,camilla and marc,Camilla and Marc,27
60,Bianca Spender,Carla Zampatti,28
61,Carla Zampatti,Carla Zampatti,28
62,Osh Kosh,Carter's,29
63,Chanel,Chanel,30
64,Dior,Christian Dior,31
65,Cinnamon Girl,Cinnamon Girl,32
66,Run Scotty Run,CK Clothing Group,33
67,Coach,Coach,34
68,$mart Buy,Coles Supermarkets,35
69,1st Choice,Coles Supermarkets,35
70,Coles,Coles Supermarkets,35
71,Hammer 'N' Tongs,Coles Supermarkets,35
72,Liquorland,Coles Supermarkets,35
73,Maxx,Coles Supermarkets,35
74,Mix,Coles Supermarkets,35
75,Simply Basics,Coles Supermarkets,35
76,Steamrail,Coles Supermarkets,35
77,Tasman Bitter,Coles Supermarkets,35
78,Tasman Gold,Coles Supermarkets,35
79,Vintage Cellars,Coles Supermarkets,35
80,Collette Dinnigan,Collette Dinnigan,36
81,COAR,Cotton On,37
82,Cotton On,Cotton On,37
83,Cotton On Body,Cotton On,37
84,Cotton On Kids,Cotton On,37
85,Factorie,Cotton On,37
86,Rubi,Cotton On,37
87,Supre,Cotton On,37
88,Country Road,Country Road,38
89,Mimco,Country Road,38
90,Politix,Country Road,38
91,Trenery,Country Road,38
92,Witchery,Country Road,38
93,Cue,Cue Clothing,39
94,Veronika Maine,Cue Clothing,39
95,Agenda,David Jones,40
96,Alta Linea,David Jones,40
97,David Jones,David Jones,40
98,Milana,David Jones,40
99,St James,David Jones,40
100,Decjuba,Decjuba,41
101,Declic,Declic,42
102,7 for All Mankind,Delta Galil,43
103,Ella Moss,Delta Galil,43
104,Splendid,Delta Galil,43
105,Chino Kids,Designworks,44
106,Dunlop,Designworks,44
107,Everlast,Designworks,44
108,Fred Bare,Designworks,44
109,KT26,Designworks,44
110,Mooks,Designworks,44
111,Republic,Designworks,44
112,Sista,Designworks,44
113,Slazenger,Designworks,44
114,Dickies,Dickies,45
115,Diesel,Diesel,46
116,lili,Discovery Group,47
117,DKNY,DKNY,48
118,Donna Karan,DKNY,48
119,D & G,Dolce & Gabbana,49
120,Dolce & Gabbana,Dolce & Gabbana,49
121,Dom Bagnato,Dom Bagnato,50
122,Leona Edmiston,Ducker Edmiston,51
123,Little Leona,Ducker Edmiston,51
124,M-One-11,Empire Apparel,52
125,Esprit,Esprit,53
126,Etiko Fair Trade,Etiko Fair Trade,54
127,etiko,Etiko,55
128,Alannah Hill,Factory X Group,56
129,Dangerfield,Factory X Group,56
130,Gorman,Factory X Group,56
131,Jack London,Factory X Group,56
132,L'urv,Factory X Group,56
133,Princess Highway,Factory X Group,56
134,Revival,Factory X Group,56
135,Temt,Fast Future Brands,57
136,Valleygirl,Fast Future Brands,57
137,FCUK,FC,58
138,French Connection,FC,58
139,Feathers,Feathers,59
140,Fields Woman,Fields Knitwear,60
141,Flair,Flair Industries,61
142,Fleur Wood,Fleur Wood,62
143,Forever 21,Forever 21,63
144,Forever New,Forever New,64
